brand_name_key,brand_name,n_paid_prescribers,payment_usd,observed_brand_fills,expected_brand_fills,oe_ratio
CERDELGA,Cerdelga,160.0,14571.82,31.0,4.405945994875105,7.0359464314947315
CLODERM,Cloderm,1842.0,101065.36000000004,60.0,0.0,
SOLIRIS,Soliris,3099.0,934491.6900000003,2899.2,457.9627059646286,6.330646496406901
SIMPONI ARIA,Simponi Aria,10394.0,2028502.9999999995,1836.9,445.93145309765356,4.1192429626571805
ALTRENO,Altreno,579.0,52529.11,0.0,1.613659488440018,0.0
OPDIVO,Opdivo,3926.0,3240430.120000001,1517.6999999999998,162.82802621240606,9.320876972494828
INFLECTRA,Inflectra,4007.0,309502.33999999997,221.40000000000003,155.16387535396288,1.4268785146989789
BAXDELA,Baxdela,180.0,8787.94,11.0,0.1925758685296517,57.12034474509606
JATENZO,Jatenzo,5057.0,896321.2800000001,64.5,4.733923501043983,13.625061745458217
EPIDUO FORTE,Epiduo Forte,1575.0,138225.99000000008,30.0,1.197365356809925,25.055009174415535
ARESTIN,Arestin,1048.0,75890.14999999998,90.0,0.0,
SAPHNELO,Saphnelo,1988.0,789802.4799999994,17.0,0.0,
NATESTO,Natesto,1954.0,136677.39,28.0,5.404152395708995,5.181201037600745
OXERVATE,Oxervate,1663.0,459686.22,2908.0,168.2128817838968,17.28761774461429
EYSUVIS,Eysuvis,5433.0,1429145.2800000007,2766.0,51.12640270552438,54.10120512353443
FASLODEX,Faslodex,60.0,2788.21,0.0,0.3223299973801266,0.0
FARYDAK,Farydak,300.0,148708.65000000002,47.0,1.4307428380395075,32.85006833541261
ZYLET,Zylet,1357.0,44079.650000000016,690.6000000000001,233.75410936213706,2.954386564088622
CINVANTI,Cinvanti,173.0,10579.22,0.0,1.0947622269006476,0.0
LUCENTIS,Lucentis,924.0,480072.0799999998,543.4,5.778670285440627,94.0354741070965
JUXTAPID,Juxtapid,610.0,31806.120000000006,25.0,1.000065155178041,24.99837122667199
ERBITUX,Erbitux,500.0,20289.83,12.0,11.082090989589357,1.0828281423851271
ADAKVEO,Adakveo,497.0,103488.29999999997,123.0,5.6607661204671365,21.728507658226626
EZALLOR SPRINKLE,Ezallor Sprinkle,1290.0,115094.36000000002,210.0,5.465352459347038,38.42387139018832
BEOVU,Beovu,799.0,808753.9000000008,33.6,5.151321948949622,6.522597564854434
INVELTYS,Inveltys,5014.0,297700.22,9397.899999999998,873.096876733944,10.763868535591829
REBLOZYL,Reblozyl,1925.0,607531.44,153.0,106.48273929018684,1.4368525924473476
JEVTANA,Jevtana,1479.0,365055.79000000004,111.0,11.566159462076467,9.596962618745724
CEREZYME,Cerezyme,55.0,16024.120000000003,0.0,1.8445124086588611,0.0
RYBREVANT,Rybrevant,335.0,48340.06,0.0,0.3509635857401487,0.0
ALIMTA,Alimta,89.0,2005.9600000000003,0.0,6.162684002811973,0.0
CAROSPIR,Carospir,449.0,19701.2,30.0,0.3607774456596105,83.15375686845087
TRAZIMERA,Trazimera,172.0,3195.750000000001,0.0,1.6586021035842473,0.0
ZYPITAMAG,Zypitamag,781.0,22356.510000000002,0.0,0.7123120477014931,0.0
SPRITAM,Spritam,178.0,4036.349999999999,0.0,1.3156192478713782,0.0
TRODELVY,Trodelvy,1466.0,485937.92000000004,12.0,5.7064655962307445,2.102877831757416
COPIKTRA,Copiktra,263.0,148095.65000000002,38.0,7.840100146874002,4.8468768623002
MVASI,Mvasi,195.0,14121.390000000007,62.0,6.956127632080519,8.913004947474825
SIMBRINZA,Simbrinza,62.0,1900.9200000000003,2534.1,1479.488104456987,1.7128221527202374
LUMAKRAS,Lumakras,2174.0,458852.8000000002,23.0,20.811615568535515,1.105152068769377
SUSTOL,Sustol,117.0,34531.16,0.0,0.0002560423520105938,0.0
DERMOTIC,Dermotic,110.0,4914.619999999999,0.0,0.03564821445607188,0.0
GIMOTI,Gimoti,1430.0,78907.18,29.0,0.0,
SANDOSTATIN,Sandostatin,650.0,16012.759999999998,0.0,0.004048883077948777,0.0
ADCETRIS,Adcetris,1973.0,1704937.4000000006,0.0,0.0020261389262999467,0.0
SYMJEPI,Symjepi,889.0,29157.079999999998,0.0,0.018298349634640537,0.0
RIABNI,Riabni,35.0,2333.65,0.0,0.053149310379348724,0.0
BIKTARVY,Biktarvy,458.0,706988.0299999999,65709.2,13643.667965637345,4.816094921504526
PREZCOBIX,Prezcobix,199.0,14376.490000000002,3643.0,797.4568204523298,4.568272421237346
NUCALA,Nucala,8623.0,3492329.8399999994,12845.8,7768.523342003783,1.653570367812862
VYVANSE,Vyvanse,8823.0,436968.93999999994,27413.4,7664.008585047862,3.5769010036708884
TRADJENTA,Tradjenta,8450.0,336519.71,212219.7,112805.1527411157,1.8812943810025913
HIZENTRA,Hizentra,2365.0,391791.9900000001,6045.1,2293.2615625265453,2.6360272629956603
OLUMIANT,Olumiant,2052.0,374455.0900000002,2322.0,658.2882921437262,3.527329936916196
ELIGARD,Eligard,2187.0,195216.7300000001,1245.8000000000002,541.1721309415226,2.302040198989141
ANORO ELLIPTA,Anoro Ellipta,12744.0,597166.8700000001,449457.89999999997,234425.6550726783,1.9172726630993346
OPSUMIT,Opsumit,5131.0,1650355.41,38503.0,6220.281588408726,6.18991269973195
LINZESS,Linzess,23918.0,2115228.1100000013,940794.4000000004,336839.5244781887,2.793004774179698
BYSTOLIC,Bystolic,11331.0,354978.1599999999,341247.20000000007,114246.95925378667,2.9869258860707015
ABILIFY MAINTENA,Abilify Maintena,7814.0,1662279.5100000002,64791.79999999999,16004.980772958665,4.048227293685317
DESCOVY,Descovy,1361.0,465992.16000000003,17392.0,3359.8587771847056,5.176408043725312
ZENPEP,Zenpep,12366.0,1299790.1600000001,55419.99999999999,6633.969186323232,8.353973080588819
JARDIANCE,Jardiance,60588.0,11942026.6,2400117.4999999995,1478228.104679463,1.6236448843058886
MOVANTIK,Movantik,5130.0,343601.2899999999,41661.299999999996,8141.270486825751,5.117297118111546
INVEGA SUSTENNA,Invega Sustenna,8160.0,1822570.66,188927.99999999994,54677.97649166915,3.4552851462743033
XCOPRI,Xcopri,1283.0,1970528.1800000004,9183.000000000002,1106.62640811045,8.29819343971725
ORACEA,Oracea,3147.0,262824.9000000001,344.0,56.426993447332364,6.0963730119890505
ACTEMRA,Actemra,1429.0,90251.44000000002,4781.0,4040.503009536803,1.1832685160029337
XOLAIR,Xolair,4265.0,690211.8599999999,20431.9,10600.722350928823,1.927406390207907
TARGRETIN,Targretin,243.0,16483.8,75.0,1.1303685013448268,66.35004417654126
INGREZZA,Ingrezza,9819.0,5138065.309999999,46695.2,7746.299706365549,6.02806524018533
PROLIA,Prolia,23073.0,1799690.6000000003,560206.0000000001,110927.6911787516,5.050190750813252
VELTASSA,Veltassa,4510.0,894480.5399999999,41295.79999999997,12207.545600539226,3.3828093993092163
VIMPAT,Vimpat,1438.0,84586.46999999996,68157.99999999999,55454.12785321412,1.2290879441907867
OXISTAT,Oxistat,27.0,640.52,0.0,0.04880851746488965,0.0
EPIDIOLEX,Epidiolex,1316.0,448667.50999999983,8671.400000000003,2165.9437773567383,4.003520354799955
MOTEGRITY,Motegrity,4347.0,336556.16,14114.5,4792.262595139467,2.9452684863962957
DOPTELET,Doptelet,1609.0,694171.07,405.3,58.184032487034116,6.965828641909928
VUMERITY,Vumerity,3421.0,2728751.7300000014,6299.1,705.2028967100828,8.932322923497058
PIFELTRO,Pifeltro,1572.0,110149.86,7739.0,1585.9717948109565,4.879658027539177
TIROSINT,Tirosint,2943.0,122246.95999999995,11752.699999999999,4994.269528834761,2.353237031390671
SUCRAID,Sucraid,2868.0,284062.0199999999,1484.4,102.92655653018362,14.421933950201607
VELPHORO,Velphoro,2225.0,436297.56999999995,52379.4,14535.459698822588,3.6035599207256497
KEVZARA,Kevzara,828.0,332061.22000000003,3804.4,890.2744723123035,4.273288876989654
SYMBICORT,Symbicort,949.0,42680.90999999999,68047.90000000001,45711.08700095917,1.4886519762387656
ORENCIA,Orencia,2148.0,404101.02999999985,11233.500000000002,9115.621254541436,1.23233509667851
ACTHAR,Acthar,7870.0,3711843.4899999998,3119.3,125.10402184549123,24.93365084499416
HUMALOG,Humalog,330.0,6851.139999999999,3350.2,1522.225825465586,2.200856104234936
DUEXIS,Duexis,2989.0,116345.49000000002,5164.1,91.21891908190176,56.6121595385642
AVEED,Aveed,2645.0,123812.44999999995,179.09999999999997,20.053338801966294,8.931181075065597
BRILINTA,Brilinta,8987.0,1087069.4000000001,276264.1000000001,122983.27196832112,2.2463550983678666
TEFLARO,Teflaro,1083.0,86608.76000000001,106.0,15.070712317749141,7.03350961554493
PERSERIS,Perseris,1416.0,71260.22000000002,1661.7,74.03494196627254,22.444807220312356
ORILISSA,Orilissa,5136.0,878450.8599999993,280.0,68.38834537712785,4.094264870073091
PANCREAZE,Pancreaze,537.0,15034.979999999998,39.1,4.227057849396559,9.249932551924216
XTANDI,Xtandi,6827.0,1202372.91,71357.0,24898.940793106074,2.865864881278687
XGEVA,Xgeva,2944.0,372648.7600000001,4663.999999999999,796.6855725983419,5.854254376401777
ARIKAYCE,Arikayce,3313.0,546170.7400000005,2863.3,395.5558188698581,7.238674956623644
RAYALDEE,Rayaldee,2025.0,186981.5300000001,19080.8,1133.6943276289799,16.830639031162644
SEYSARA,Seysara,2842.0,156726.00000000006,61.0,4.249338252092668,14.355176354802863
AUBAGIO,Aubagio,3021.0,2014705.2500000007,41772.69999999999,9797.161311381524,4.263755456539432
NEXLETOL,Nexletol,24430.0,6106556.369999997,18107.9,1165.7290644180653,15.53354081382496
APLENZIN,Aplenzin,4028.0,179389.18,943.0,50.10223295813909,18.821516414006652
DARAPRIM,Daraprim,199.0,4304.34,0.0,0.18638488233651204,0.0
EVRYSDI,Evrysdi,129.0,84222.22,480.7,26.27888505764922,18.292252466018475
CAPLYTA,Caplyta,10576.0,3294125.1499999985,18034.4,827.3602026060289,21.797519318907334
FABRAZYME,Fabrazyme,356.0,119013.79999999999,239.0,19.374943708632482,12.335519710104439
ERLEADA,Erleada,5198.0,1465147.6699999995,25874.5,4198.620172455886,6.1626198458588615
SYMPROIC,Symproic,222.0,95286.48999999999,331.7,38.620163524927605,8.588777719335713
AVYCAZ,Avycaz,1637.0,144788.75000000003,89.0,58.08156173432384,1.5323279426800367
GLYXAMBI,Glyxambi,2455.0,82645.15,7504.1,1232.3729954335658,6.089146733826275
NAPRELAN,Naprelan,3117.0,101121.04999999999,22.0,0.2489143084100653,88.38383032508062
VENCLEXTA,Venclexta,2418.0,1009280.5199999999,13763.1,7086.08983244132,1.9422700424979367
REYVOW,Reyvow,29854.0,2211053.78,1868.1,488.96462752230093,3.820521761392236
QUZYTTIR,Quzyttir,167.0,20593.19,0.0,0.487547749887917,0.0
LUMIGAN,Lumigan,4485.0,584026.6800000005,1077350.2999999984,562326.2331222948,1.9158812741458857
BESIVANCE,Besivance,1035.0,34793.25,18275.600000000006,5539.986534601227,3.2988527834599695
TRESIBA,Tresiba,1963.0,120705.98999999998,502.7999999999999,236.11902974592599,2.1294344659176088
VERQUVO,Verquvo,14364.0,908841.99,1368.2,122.81246363047829,11.140563095588409
VIBERZI,Viberzi,4034.0,123197.92000000004,3596.2999999999997,1608.2661012966016,2.236134926366118
RESTASIS MULTIDOSE,Restasis Multidose,6586.0,1565789.080000001,15870.100000000002,7410.1012266051275,2.1416846429870904
NOURIANZ,Nourianz,2315.0,1115097.2700000003,11958.7,1461.3141131077512,8.183524604828214
LORBRENA,Lorbrena,1413.0,112651.96,139.0,86.59891825576258,1.6051008811619938
KRISTALOSE,Kristalose,255.0,7192.740000000002,193.0,4.763923877426851,40.51282198577982
GATTEX,Gattex,3150.0,244411.16999999993,1451.3,269.709759489737,5.380969538312999
LEVEMIR,Levemir,25.0,338.22,0.0,66.47371569879567,0.0
AMPYRA,Ampyra,33.0,669.4199999999998,413.0,26.168221743353957,15.78250154139309
ZEPOSIA,Zeposia,8352.0,3849723.139999997,813.6000000000003,107.85951937926065,7.543145052771672
TAFINLAR,Tafinlar,1830.0,102437.11,563.0,595.5030679672686,0.945419142712032
INLYTA,Inlyta,1616.0,168244.29999999996,2051.0,1403.3056973033201,1.4615489725020925
PERJETA,Perjeta,210.0,13448.189999999999,23.0,9.612155997906157,2.392803446491105
ZIRABEV,Zirabev,211.0,4110.040000000001,39.0,5.017869895926802,7.77222223949206
PROMETRIUM,Prometrium,364.0,8575.260000000002,11.0,5.134715197254338,2.1422804532337016
INVOKAMET,Invokamet,25.0,371.5,0.0,1.2645023970208564,0.0
RETACRIT,Retacrit,81.0,1907.0500000000002,175.3,71.90284668340036,2.43801195760543
PROMACTA,Promacta,1577.0,117022.01999999999,3919.7,2081.425568775343,1.8831804791877569
DUOPA,Duopa,1782.0,636576.64,62.0,23.32862911115462,2.6576786704690933
HERCEPTIN,Herceptin,37.0,10385.61,26.0,2.518587706689084,10.32324581389282
SECUADO,Secuado,981.0,121350.90999999999,306.0,11.226198403242535,27.257668981835923
BROMSITE,Bromsite,4086.0,173934.47999999998,23414.600000000006,3403.4121627901854,6.879742705275005
INREBIC,Inrebic,137.0,76561.58,22.0,12.013886418390028,1.8312142493975903
RUXIENCE,Ruxience,844.0,38812.58000000001,35.0,11.931304954412125,2.9334595112378894
ICLUSIG,Iclusig,572.0,243016.41,126.0,34.82165752166467,3.6184377473015967
RADICAVA,Radicava,1031.0,80132.66000000003,1282.0,290.16414690188265,4.418188855129304
ADMELOG,Admelog,84.0,1264.5,0.0,3.2828622042832687,0.0
FIRDAPSE,Firdapse,747.0,187069.26,266.0,123.87918224067212,2.1472534382993906
SOMAVERT,Somavert,482.0,25777.940000000002,238.0,81.1883397258265,2.93145543810512
CYRAMZA,Cyramza,1839.0,170462.94999999995,43.0,11.70548166143401,3.6734925775563663
KYPROLIS,Kyprolis,2129.0,575308.57,254.0,30.287787979296027,8.386218239959552
XEOMIN,Xeomin,1974.0,267339.75,247.4,10.942576031573573,22.608935892805782
ZOLADEX,Zoladex,58.0,1323.53,11.0,0.5538243617544714,19.861892613667045
TEGSEDI,Tegsedi,789.0,128191.5,185.0,2.97727230863173,62.137413317433754
KYNMOBI,Kynmobi,2609.0,292284.7300000001,395.7,37.85928071727331,10.451862594934662
PROCYSBI,Procysbi,27.0,51187.33,0.0,0.448575550594651,0.0
ROZLYTREK,Rozlytrek,497.0,30136.17000000001,12.0,5.478459860533329,2.190396627060766
GAZYVA,Gazyva,697.0,62129.46000000001,0.0,2.543620506747784,0.0
FLAREX,Flarex,589.0,127506.07999999999,5069.6,216.4914802962748,23.41708779053156
UCERIS,Uceris,208.0,8881.289999999999,0.0,3.964313330333492,0.0
EVKEEZA,Evkeeza,901.0,168295.32999999996,0.0,0.7860292356976636,0.0
YERVOY,Yervoy,30.0,4824.14,0.0,0.3166726662237192,0.0
KETODAN,Ketodan,93.0,5453.710000000001,26.0,0.0,
HALAVEN,Halaven,195.0,74223.4,0.0,0.04299881928347566,0.0
FERRIPROX,Ferriprox,43.0,48902.22,0.0,0.20032367420310973,0.0
EVENITY,Evenity,22715.0,1954042.0200000005,11.0,0.0,
PROAIR DIGIHALER,Proair Digihaler,811.0,545539.2999999998,0.0,0.1817214429097163,0.0
BAVENCIO,Bavencio,1398.0,363663.9799999999,26.0,3.420375885567651,7.60150371475473
SPIRIVA,Spiriva,259.0,67181.8,3628.0,3688.0436237576287,0.9837193835314637
SYNTHROID,Synthroid,8368.0,581311.7900000003,1445589.8999999994,833117.166753917,1.7351579797982872
