generic_name_key,generic_name,example_brand_name,n_brand_products,is_single_brand_equivalent,brand_premium_per_fill,n_paid_prescriber_cells,paid_total_fills,observed_brand_fills,expected_brand_fills,net_excess_brand_fills,estimated_savings_usd,savings_rank,share_of_headline_savings
LISINOPRIL,Lisinopril,Qbrelis,2,False,483.92480035666824,142683.0,45037250.50000006,2067.5,336.78237796796645,1730.717622032034,837537.1797156194,,
CLOZAPINE,Clozapine,Clozaril,2,False,1260.916213762595,8075.0,642851.0000000001,5008.400000000001,4419.081482022316,589.3185179776839,743081.2743886049,,
OLOPATADINE HCL,Olopatadine Hcl,Pataday,3,False,183.36459769867807,9377.0,491543.7,6147.1,2146.0415674700057,4001.058432529994,733652.4698497658,,
PEG3350 SOD SUL NACL KCL ASB C,Peg3350/Sod Sul/Nacl/Kcl/Asb/C,Moviprep,2,False,25.87881033765835,1436.0,43830.8,40697.5,16160.339776326398,24537.160223673603,634992.5156531838,,
ZOLMITRIPTAN,Zolmitriptan,Zomig,2,False,1013.9678236779735,740.0,11982.100000000002,1346.4,720.3968245933581,626.0031754066418,634747.0773825733,,
DULOXETINE HCL,Duloxetine Hcl,Cymbalta,2,False,197.5613914419901,106412.0,10709083.69999998,19558.899999999998,16498.251783596566,3060.648216403436,604665.9203471086,,
QUETIAPINE FUMARATE,Quetiapine Fumarate,Seroquel,2,False,650.3792635010037,68689.0,6341671.700000003,8639.6,7712.653930349217,926.9460696507832,602866.5020846265,,
AZITHROMYCIN,Azithromycin,Azasite,2,False,259.53584940374077,75333.0,3070972.3000000003,4763.2,2673.1991842606867,2090.0008157393136,542430.1369674142,,
DESMOPRESSIN ACETATE,Desmopressin Acetate,Ddavp,2,False,484.9736033632591,3681.0,108689.09999999996,1445.3999999999999,407.14808359177266,1038.251916408227,503524.77309930726,,
OLANZAPINE,Olanzapine,Zyprexa,2,False,1069.2682486764477,30384.0,2130210.0000000014,5320.099999999999,4864.223703245742,455.87629675425507,487454.049443527,,
MEMANTINE HCL,Memantine Hcl,Namenda,2,False,413.4799360954278,46256.0,4462619.300000005,2443.9999999999995,1464.1191907921125,979.8808092078876,405161.0543724134,,
