dimension,dimension_value,n_prescribers,n_top_1pct,n_later_exclusions,n_exclusions_in_top_1pct,share_top_1pct
prescriber_state,NJ,17361,146.0,15.0,1.0,0.00840965382178446
prescriber_state,AL,9820,88.0,14.0,0.0,0.008961303462321792
prescriber_state,SC,10676,115.0,4.0,0.0,0.01077182465342825
prescriber_state,DE,2173,28.0,0.0,0.0,0.012885411872986655
prescriber_state,OR,8986,97.0,8.0,0.0,0.010794569330068997
prescriber_state,MT,2351,33.0,4.0,1.0,0.014036580178647383
prescriber_state,AK,1266,8.0,1.0,0.0,0.00631911532385466
prescriber_state,NV,4911,71.0,7.0,0.0,0.014457340663815923
prescriber_state,SD,2091,30.0,0.0,0.0,0.014347202295552367
prescriber_state,GU,67,1.0,0.0,0.0,0.014925373134328358
prescriber_state,VI,97,1.0,0.0,0.0,0.010309278350515464
prescriber_state,XX,20,0.0,0.0,0.0,0.0
