prescriber_state,n_prescribers,n_industry_paid,total_payment_usd,total_drug_cost,total_fills,brand_fills,paid_brand_fills,paid_expected_brand_fills,n_later_exclusions,state_name,census_region,share_industry_paid,brand_fill_share,paid_brand_oe_ratio,later_exclusions_per_1000
NM,3903,1467.0,2507831.330000001,972485273.9800014,11303633.999999983,1308285.5999999982,731328.8999999996,662904.6206555475,3.0,New Mexico,West,0.37586471944657956,0.11574026547568686,1.1032188903386844,0.7686395080707148
NY,47100,21604.0,63595100.700000025,16817281459.089901,142157051.99999866,22689477.2000001,15231119.299999993,12079623.448614854,33.0,New York,Northeast,0.4586836518046709,0.15960852367704076,1.260893550597102,0.7006369426751592
NC,23022,11243.0,39747858.27000028,7566152516.160028,81505842.30000013,10840777.199999988,6937143.999999957,5952979.385025737,9.0,North Carolina,South,0.48835896099383197,0.1330061366656163,1.1653230342859595,0.39093041438623927
ND,1835,723.0,624949.8500000006,417853206.9700003,5546069.999999996,681533.7000000003,397068.99999999994,353986.5974819541,1.0,North Dakota,Midwest,0.39400544959128064,0.12288588135382365,1.1217063098561018,0.5449591280653951
OH,27144,12824.0,42156345.75000008,8453984747.660001,97932039.50000025,12976587.499999952,8390746.299999975,7420181.763083258,26.0,Ohio,Midwest,0.47244326554671384,0.1325060477271069,1.1308006418044165,0.9578544061302682
OK,7130,4051.0,11983383.159999965,2316577083.6600018,26894767.999999933,3579074.9000000027,2549786.9000000027,2550132.514498917,5.0,Oklahoma,South,0.5681626928471248,0.13307699475228832,0.9998644719453011,0.7012622720897616
OR,8986,2215.0,5541636.909999994,2281218569.819995,27044330.00000012,2961790.8000000087,889485.1999999991,824172.6234324552,8.0,Oregon,West,0.24649454707322502,0.1095161462679976,1.0792462339934743,0.8902737591809482
PA,31982,14565.0,44535504.2300001,10382783430.719963,111840492.59999979,15585547.299999971,9603593.399999995,8476746.640449733,27.0,Pennsylvania,Northeast,0.45541241948596084,0.13935513817649262,1.1329338727871283,0.8442248764930274
RI,2850,1074.0,3195680.5499999993,681405427.31,8763315.999999993,1002271.7000000001,538172.6000000003,485949.29897563986,0.0,Rhode Island,Northeast,0.37684210526315787,0.11437128365563913,1.1074665631464948,0.0
SC,10676,6072.0,14524553.939999966,3773775654.079999,41587786.899999954,5347602.299999999,4187258.599999997,3848209.961280813,4.0,South Carolina,South,0.5687523417010116,0.128585882986719,1.0881055457291986,0.37467216185837393
SD,2091,848.0,2488613.28,504596456.4200004,6179586.500000002,790452.6999999991,439025.89999999997,363934.9762281225,0.0,South Dakota,Midwest,0.40554758488761355,0.12791352625292954,1.2063306048518097,0.0
TN,15942,9488.0,44985004.72999997,5334565091.129987,62158433.39999995,8032320.700000003,6171973.599999994,5808023.087079496,18.0,Tennessee,South,0.5951574457408104,0.12922334525889145,1.0626634067158136,1.1290929619872037
TX,43907,25748.0,83829142.51999985,14580693588.550114,158768102.9999969,20823105.90000011,15893260.50000009,13703677.458849156,53.0,Texas,South,0.5864212995649897,0.13115421489920123,1.1597806900903822,1.2070968182749902
UT,4710,2329.0,10319837.750000015,1081686231.1600041,13495731.30000001,1489081.700000005,888264.6000000008,804900.8854918306,0.0,Utah,West,0.49447983014861996,0.11033723678241904,1.1035701612593347,0.0
VT,1436,63.0,299408.7700000001,419157879.0399996,4228079.300000005,556671.5,17154.9,20463.13996580784,0.0,Vermont,Northeast,0.04387186629526462,0.1316606100552559,0.8383317530283414,0.0
VA,15522,7617.0,23085172.919999942,4286776513.3700027,49486248.89999999,6168196.699999987,3844131.20000001,3543513.761090993,13.0,Virginia,South,0.49072284499420177,0.12464466063015717,1.0848359733239645,0.8375209380234506
WA,14677,3458.0,10680213.460000003,3422199861.3900046,39076784.50000008,4424297.200000007,1297353.5999999996,1130331.1444243435,10.0,Washington,West,0.23560673162090345,0.11322060544669425,1.147764180788558,0.6813381481229134
WV,4544,2329.0,4139574.9999999977,1429726546.7399971,17575794.900000013,2406265.0999999996,1749277.1000000006,1561457.1976024306,2.0,West Virginia,South,0.512544014084507,0.13690789598369732,1.1202850149757302,0.44014084507042256
WI,12558,2698.0,8534174.300000012,3632767753.3000064,44844027.49999982,5253952.000000004,1461286.2000000007,1222713.314339803,8.0,Wisconsin,Midwest,0.21484312788660614,0.1171605739471109,1.1951175985917954,0.6370441153049848
WY,1014,459.0,337033.9600000002,196460530.8900001,2699360.300000005,296685.9,169912.5000000001,157656.03320297832,0.0,Wyoming,West,0.4526627218934911,0.1099097071257955,1.0777418189968149,0.0
PR,6125,2797.0,3958059.0900000054,2213591699.7999954,38763188.80000003,5370107.899999996,3724571.1999999997,3471260.0885047144,10.0,Puerto Rico,Territory,0.4566530612244898,0.13853627800610646,1.0729738207557942,1.6326530612244898
VI,97,9.0,7127.290000000001,26345256.909999967,242306.4,26982.900000000012,2593.2,2779.701912840676,0.0,U.S. Virgin Islands,Territory,0.09278350515463918,0.11135859391250091,0.9329057867755024,0.0
GU,67,10.0,3324.19,8988798.730000008,146167.5,15873.000000000002,7479.500000000001,7383.1334086685,0.0,Guam,Territory,0.14925373134328357,0.10859459182102726,1.013052261959449,0.0
ZZ,49,11.0,3024.18,6473157.190000002,63959.10000000001,7043.7,1980.9,2162.358280148527,0.0,,,0.22448979591836735,0.11012819129725088,0.9160831570723503,0.0
AE,26,6.0,3722.4300000000003,4665794.039999999,38974.5,5768.7,4166.900000000001,2085.769017110231,0.0,,,0.23076923076923078,0.14801216179809876,1.9977763433139462,0.0
AP,16,4.0,2431.4599999999996,4159026.5699999994,50973.899999999994,7442.1,3053.399999999999,3351.6422949843686,0.0,,,0.25,0.1459982461612708,0.9110160724995385,0.0
XX,20,8.0,1892.2099999999998,5561542.689999998,50549.50000000001,6003.299999999999,4536.7,4077.798457971726,0.0,,,0.4,0.11876081860354698,1.1125365921729562,0.0
